date,topic,Argentina_sentiment,Argentina_count,Australia_sentiment,Australia_count,Brazil_sentiment,Brazil_count,Canada_sentiment,Canada_count,China_sentiment,China_count,Czechia_sentiment,Czechia_count,Egypt_sentiment,Egypt_count,France_sentiment,France_count,Germany_sentiment,Germany_count,Hungary_sentiment,Hungary_count,India_sentiment,India_count,Israel_sentiment,Israel_count,Italy_sentiment,Italy_count,Japan_sentiment,Japan_count,"Korea, Republic of_sentiment","Korea, Republic of_count",Mexico_sentiment,Mexico_count,New Zealand_sentiment,New Zealand_count,Nigeria_sentiment,Nigeria_count,Pakistan_sentiment,Pakistan_count,Philippines_sentiment,Philippines_count,Poland_sentiment,Poland_count,Russian Federation_sentiment,Russian Federation_count,Saudi Arabia_sentiment,Saudi Arabia_count,Singapore_sentiment,Singapore_count,South Africa_sentiment,South Africa_count,Spain_sentiment,Spain_count,"Taiwan, Province of China_sentiment","Taiwan, Province of China_count",Turkey_sentiment,Turkey_count,Ukraine_sentiment,Ukraine_count,United Kingdom_sentiment,United Kingdom_count,United States_sentiment,United States_count
2026-01-20,Pandemic,-0.0038,139.0,-0.2441,201.0,-0.2139,140.0,-0.0814,98.0,0.1008,21.0,-0.2217,32.0,-0.0527,38.0,-0.1162,225.0,-0.0441,1045.0,-0.1926,47.0,-0.1254,510.0,-0.1223,92.0,-0.1243,537.0,0.0413,99.0,0.0916,275.0,-0.0111,157.0,-0.1016,60.0,-0.0016,124.0,0.0042,115.0,0.0504,119.0,-0.1298,128.0,-0.1468,585.0,0.0409,16.0,-0.0354,27.0,-0.0956,80.0,-0.0113,592.0,-0.0241,208.0,-0.1096,373.0,-0.0862,98.0,0.0165,94.0,-0.047,526.0
2026-01-20,Politics,-0.0095,402.0,0.0007,508.0,0.0233,264.0,0.0192,167.0,0.0906,115.0,-0.0855,102.0,0.0572,86.0,-0.092,971.0,-0.0346,1046.0,0.0448,141.0,-0.0478,1945.0,-0.1063,249.0,-0.0216,1167.0,-0.082,290.0,-0.0455,767.0,-0.0343,330.0,-0.0042,104.0,-0.0583,413.0,0.0222,275.0,0.0113,252.0,-0.0765,253.0,-0.0531,999.0,0.0669,33.0,0.0313,56.0,-0.0591,124.0,0.0009,878.0,0.0004,426.0,-0.032,849.0,-0.0492,246.0,-0.0643,195.0,-0.0254,1616.0
2026-01-20,Politics-Election,0.1848,8.0,0.0502,9.0,-0.0793,5.0,-0.0482,9.0,-0.6807,1.0,,,0.8017,1.0,0.0194,87.0,-0.0553,25.0,-0.2189,6.0,0.0488,193.0,0.0876,8.0,-0.0429,19.0,0.0192,47.0,-0.1718,14.0,0.0069,9.0,0.002,11.0,0.0222,21.0,-0.1184,10.0,0.0047,3.0,0.0066,10.0,-0.0752,14.0,0.0059,1.0,0.2144,3.0,0.004,2.0,0.0884,28.0,-0.0855,24.0,0.0057,16.0,0.4602,3.0,-0.166,6.0,0.108,106.0
2026-01-20,Politics-Political Tension,-0.0852,54.0,-0.1911,88.0,-0.0924,18.0,-0.0781,21.0,-0.0875,19.0,-0.1768,9.0,0.362,7.0,-0.0675,127.0,-0.1385,106.0,-0.0947,11.0,-0.274,250.0,-0.1091,53.0,-0.0541,121.0,-0.037,22.0,-0.133,81.0,-0.0437,42.0,-0.1465,10.0,-0.1116,45.0,0.0077,48.0,-0.1279,33.0,-0.1501,48.0,-0.0077,110.0,-0.1258,5.0,-0.1076,12.0,-0.4432,16.0,-0.0881,119.0,-0.1588,72.0,-0.1854,54.0,-0.0928,36.0,-0.2042,31.0,-0.0414,183.0
2026-01-20,Terrorist Attacks,-0.5561,35.0,-0.1182,51.0,-0.5332,22.0,-0.1713,25.0,-0.4371,2.0,-0.4001,8.0,-0.1504,4.0,-0.5284,44.0,-0.1035,34.0,-0.4063,4.0,-0.3885,136.0,-0.4607,13.0,-0.4227,37.0,-0.4142,8.0,-0.0217,43.0,-0.5035,27.0,-0.1499,14.0,-0.4126,28.0,-0.4793,30.0,-0.5659,6.0,-0.2391,14.0,-0.4017,102.0,,,-0.1454,2.0,-0.5805,41.0,-0.448,23.0,-0.126,2.0,-0.4856,92.0,-0.5405,7.0,-0.2752,22.0,-0.4159,188.0
2026-01-20,Wars,-0.1257,28.0,0.064,20.0,-0.1494,15.0,0.0286,5.0,0.0442,10.0,0.0495,8.0,-0.0015,15.0,-0.0629,32.0,0.0427,60.0,-0.2246,12.0,-0.0233,88.0,-0.0969,67.0,0.0174,61.0,0.0046,5.0,0.0406,68.0,-0.0707,14.0,-0.0441,8.0,-0.0053,37.0,0.1184,14.0,0.0167,16.0,0.0484,33.0,-0.158,575.0,0.0721,16.0,0.1927,6.0,-0.0026,6.0,-0.0371,48.0,0.1166,24.0,0.0202,191.0,-0.113,249.0,-0.2014,11.0,-0.0952,76.0
2026-01-19,Economic Data,-0.0878,147.0,0.033,59.0,-0.0257,86.0,-0.0286,68.0,0.2106,66.0,-0.1759,45.0,0.0978,21.0,-0.0135,135.0,0.069,441.0,-0.0509,26.0,0.0646,340.0,0.071,9.0,0.065,166.0,0.0245,127.0,0.2719,245.0,0.0341,54.0,-0.0726,26.0,0.192,45.0,0.0979,48.0,0.1951,60.0,-0.1363,38.0,0.0737,199.0,0.3984,23.0,0.072,18.0,0.0271,39.0,0.1433,185.0,0.2551,167.0,0.1776,107.0,0.0793,78.0,0.2501,73.0,0.0623,247.0
2026-01-19,Economic Data-Consumer Spending,,,-0.6311,1.0,0.0156,1.0,-0.3141,2.0,0.7411,1.0,0.0035,1.0,,,0.1761,1.0,,,,,0.1289,5.0,,,0.2703,2.0,0.4729,2.0,0.4358,1.0,-0.804,1.0,-0.4099,3.0,,,,,0.6319,1.0,0.0025,1.0,,,,,,,,,0.3475,5.0,-0.3057,4.0,0.007,1.0,,,-0.7703,2.0,-0.0013,2.0
2026-01-19,Economic Data-Employment,-0.1225,13.0,0.0317,9.0,0.0594,122.0,-0.4208,20.0,-0.0236,13.0,0.1026,13.0,0.4807,2.0,-0.0124,16.0,-0.0022,47.0,-0.3375,5.0,0.0621,124.0,0.2424,5.0,0.0621,30.0,0.108,55.0,-0.0693,51.0,0.1459,10.0,-0.0806,8.0,0.1661,8.0,0.0345,4.0,-0.1758,5.0,0.255,8.0,-0.0476,46.0,0.3613,8.0,-0.3442,5.0,0.0186,14.0,0.1368,39.0,0.2479,18.0,0.1563,26.0,0.0017,11.0,-0.0831,7.0,-0.1595,62.0
2026-01-19,Economic Data-GDP,0.195,14.0,,,-0.4994,7.0,-0.0609,3.0,0.5362,8.0,,,0.952,3.0,0.1808,1.0,0.5175,33.0,0.9344,1.0,0.7096,48.0,,,0.5596,12.0,,,0.4596,24.0,0.705,8.0,0.9459,2.0,0.5393,18.0,0.8379,2.0,0.0729,3.0,0.9332,1.0,-0.3336,4.0,,,,,-0.9142,1.0,0.901,29.0,0.5795,6.0,0.7614,11.0,0.9407,1.0,0.3518,6.0,0.8362,7.0
